SHEET_TYPE_TEXT,Max Num Of Chars,Dead Text,Hash Codes,,Languages,,,,,,,,,,,,,Output For All Levels,HT_File_Map_ab_cana,HT_File_Map_ab_cncl,HT_File_Map_ab_cin1,HT_File_Map_ab_cin2,HT_File_Map_ab_musm,HT_File_Map_ab_nrth,HT_File_Map_ab_sewr,HT_File_Map_ab_shop,HT_File_Map_ab_sth,HT_File_Map_ak_du6,HT_File_Map_hl_cp,HT_File_Map_hl_da2,HT_File_Map_hl_da3,HT_File_Map_hl_dng,HT_File_Map_hl_ext,HT_File_Map_hl_ws1,HT_File_Map_hl_ws2,HT_File_Map_hl_ws3,HT_File_Map_hl_rm1,HT_File_Map_lu_pala,HT_File_Map_lu_pyra,HT_File_Map_MG_Simon,HT_File_Map_mg_pairs,HT_File_Map_mg_shoot,HT_File_Map_mg_walls,HT_File_Map_mu_cast,HT_File_mum_eye,HT_File_mum_eyei,HT_File_mum_gebq,HT_File_Map_mu_htrn,HT_File_Map_mu_imp2,HT_File_mum_inch,HT_File_mum_jail,HT_File_mum_ldge,HT_File_mum_pala,HT_File_Map_mu_roto,HT_File_mum_sewr,HT_File_mum_towr,HT_File_mum_trch,HT_File_mum_trei,HT_File_mum_udng,HT_File_mum_well,HT_File_urk_4pat,HT_File_Map_ur_cast,HT_File_Map_ur_intr,HT_File_FrontEnd,HT_File_DemoMap,HT_File_Monster_Test,HT_File_Mummy_Test,HT_File_Map_cas_lowr,HT_File_BOSTest,,Game Data,,,Sound Information,,,
,,,HT_Text_MG_WallDodge_Start,,"Welcome to the <FC 128,64,0>Corridor of Champions<END FC>. It costs <FC 0,128,0>10 Scarabs<END FC> to play.<P>Would you like to play?<N>  <B 1> Yes<N>  <B 2> No thanks<E>","Welcome to the <FC 128,64,0>Corridor of Champions<END FC>. It costs <FC 0,128,0>10 Scarabs<END FC> to play.<P>Would you like to play?<N>  <B 1> Yes<N>  <B 2> No thanks<E>","Willkommen beim <FC 128,64,0>Korridor der Sieger<END FC>. Das Spielen kostet <FC 0,128,0>10 Skarabäen<END FC><P>Möchtest du spielen?<N>  <B 1> Ja<N>  <B 2> Nein, danke<E>","Bienvenue dans le <FC 128,64,0>Corridor des Champions<END FC>! Jouer coûte <FC 0,128,0>10 Scarabées<END FC>.<P>Veux-tu jouer?<N>  <B 1> Oui<N>  <B 2> Non, merci.<E>","Bienvenido al <FC 128,64,0>Pasaje de los Campeones<END FC>. Jugar te costará <FC 0,128,0>10 skarabs<END FC>.<P>¿Quieres jugar?<N>  <B 1> Sí<N>  <B 2> No, gracias<E>","Benvenuto nella <FC 128,64,0>Galleria dei Campioni<END FC>. Giocare costa <FC 0,128,0>10 Scarabei<END FC>.<P>Vuoi giocare?<N>  <B 1> Sì<N>  <B 2> No, grazie<E>","<FC 128,64,0>승자의 회랑<END FC>에 온 것을 환영한다. 플레이에 드는 비용은 <FC 0,128,0>10 스캐럽<END FC>이다.<P>플레이 하겠는가?<N>  <B 1> 예<N>  <B 2> 아니오<E>","**Welcome to the <FC 128,64,0>Corridor of Champions<END FC>. It costs <FC 0,128,0>10 Scarabs<END FC> to play.<P>Would you like to play?<N>  <B 1> Yes<N>  <B 2> No thanks<E>*","Welcome to the <FC 128,64,0>Corridor of Champions<END FC>. It costs <FC 0,128,0>10 Scarabs<END FC> to play.<P>Would you like to play?<N>  <B 1> Yes<N>  <B 2> No thanks<E>","Esi sveicināts <FC 128,64,0>Čempionu Koridorā<END FC>. Samaksa ir <FC 0,128,0>10 Skarabejas<END FC> lai spēlētu.<P>Vai tu vēlies spēlēt?<N>  <B 1> Jā<N>  <B 2> Nē paldies<E>","Bem-vindo ao <FC 128,64,0>Corredor dos Campeões<END FC>. Custam <FC 0,128,0>10 Káraves<END FC> para jogar.<P>Você gostaria de jogar?<N>  <B 1> Sim<N>  <B 2> Não, obrigado<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Instructions,,"Just dodge the moving walls, smash all the statues, then make it to the exit within the time limit.<E>","Just dodge the moving walls, smash all the statues, then make it to the exit within the time limit.<E>","Weiche einfach den sich bewegenden Wänden aus, zerschlage alle Statuen und versuche innerhalb der vorgegebenen Zeit zum Ausgang zu kommen.<E>","Évites les murs coulissants, casses toutes les statues, puis gagnes la sortie dans le délai imparti.<E>","Esquiva las paredes móviles, rompe todas las estatuas y llega a la salida en el tiempo fijado.<E>","Evita le pareti che si muovono, frantuma le statue e raggiungi l'uscita entro il tempo limite.<E>",움직이는 벽을 피하면서 동상들을 모두 부셔버리고 제한 시간 내에 출구에 도착하면 된다.<E>,"**Just dodge the moving walls, smash all the statues, then make it to the exit within the time limit.<E>*","Just dodge the moving walls, smash all the statues, then make it to the exit within the time limit.<E>","Vienkārši, izvairies no kustīgajām sienām, sasiti visas statujas, tad dodies uz izeju pirms laika termiņš vēl nav beidzies.<E>","Apenas desvie das paredes móveis, quebre todas as estátuas, e então chegue até a saída dentro do tempo limite.<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Choose,,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<E>,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<E>,Welche Herausforderung möchtest du bestreiten?<N>  <B 1> Herausforderung 1<N>  <B 2> Herausforderung 2<E>,Quel défi veux-tu relever?<N>  <B 1> Défi 1<N>  <B 2> Défi 2<E>,¿Qué reto te gustaría probar?<N>  <B 1> Reto 1<N>  <B 2> Reto 2<E>,Quale sfida desideri tentare?<N>  <B 1> Sfida 1<N>  <B 2> Sfida 2<E>,어떤 시련에 도전해보겠나?<N>  <B 1> 시련 1<N>  <B 2> 시련 2<E>,**Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<E>*,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<E>,Kuru izaicinājumu tu vēlētos izmēģināt?<N>  <B 1> 1 Izaicinājumu<N>  <B 2> 2 Izaicinājumu<E>,Qual percurso você gostaria de tentar?<N>  <B 1> Percurso 1<N>  <B 2> Percurso 2<E>,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Choose2,,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<N>  <B 3> Gauntlet 3<E>,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<N>  <B 3> Gauntlet 3<E>,Welche Herausforderung möchtest du bestreiten?<N>  <B 1> Herausforderung 1<N>  <B 2> Herausforderung 2<N>  <B 3> Herausforderung 3<E>,Quel défi veux-tu relever?<N>  <B 1> Défi 1<N>  <B 2> Défi 2<N>  <B 3> Défi 3<E>,¿Qué reto te gustaría probar?<N>  <B 1> Reto 1<N>  <B 2> Reto 2<N>  <B 3> Reto 3<E>,Quale sfida desideri tentare?<N>  <B 1> Sfida 1<N>  <B 2> Sfida 2<N>  <B 3> Sfida 3<E>,어떤 시련에 도전해보겠나?<N>  <B 1> 시련 1<N>  <B 2> 시련 2<N>  <B 3> 시련 3<E>,**Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<N>  <B 3> Gauntlet 3<E>*,Which gauntlet would you like to attempt?<N>  <B 1> Gauntlet 1<N>  <B 2> Gauntlet 2<N>  <B 3> Gauntlet 3<E>,Kuru izaicinājumu tu vēlētos izmēģināt?<N>  <B 1> 1 Izaicinājumu<N>  <B 2> 2 Izaicinājumu<E> <B 3> 3 Izaicinājumu<E>,Qual percurso você gostaria de tentar?<N>  <B 1> Percurso 1<N>  <B 2> Percurso 2<N>  <B 3> Percurso 3<E>,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_NotReady,,You're not ready for that yet.<E>,You're not ready for that yet.<E>,Dafür bist du noch nicht bereit.<E>,"Désolé, tu n'es pas prêt!<E>",Aún no estás preparado para ese.<E>,Non sei ancora pronto.<E>,넌 아직 준비가 되지 않았다.<E>,**You're not ready for that yet.<E>*,You're not ready for that yet.<E>,Tu vēl neesi tam gatavs.<E>,Você não está pronto para esse ainda.<E>,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Fail,,"Sorry, you failed this time. Try again.<E>","Sorry, you failed this time. Try again.<E>","Tja, dieses Mal hat es leider nicht geklappt. Versuche es noch einmal.<E>","Tu as échoué, désolé. Recommence!<E>","Lo siento, has fallado. Prueba otra vez.<E>","Peccato, non ce l'hai fatta. Prova ancora.<E>","미안하지만, 실패했다. 다시 해봐.<E>","**Sorry, you failed this time. Try again.<E>*","Sorry, you failed this time. Try again.<E>","Atvainojos, bet šoreiz tev neizdevās. Mēģini vēlreiz.<E>","Desculpe, você falhou dessa vez. Tente de novo.<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Succeed,,"Well done! You completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>! That's a new record!<E>","Well done! You completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>! That's a new record!<E>","Gut gemacht! Du hast es in <FC 0,128,0><SO HT_Objective_WallDodge_Time> Sekunden geschafft<END FC>! Das ist ein neuer Rekord!<E>","Bien joué! Tu as réussi en <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondes<END FC>! Tu as battu ton record!<E>","¡Bien hecho! ¡Lo has conseguido en <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>! ¡Has batido el récord!<E>","Ben fatto! Sei giunto al termine in <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondi<END FC>! Hai segnato un nuovo record!<E>","잘했다! <FC 0,128,0><SO HT_Objective_WallDodge_Time> 초<END FC>에 완료했군! 신기록이다!<E>","**Well done! You completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>! That's a new record!<E>*","Well done! You completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>! That's a new record!<E>","Labi padarīts! Tu pabeidzi izaicinājumu <FC 0,128,0><SO HT_Objective_WallDodge_Time> sekundēs<END FC>! Tas ir jauns rekords!<E>","Muito bem! Você completou o percurso em <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>! É um novo recorde!<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Succeed1,,"You deserve a reward for that effort.<N>You win <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","You deserve a reward for that effort.<N>You win <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","Dafür hast du dir eine Belohnung verdient.<N>Du bekommst <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Skarabäen<END FC>!<E>","Tu mérites une récompense.<N>Tu gagnes <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabées<END FC>!<E>","Mereces una recompensa.<N>Has ganado <FC 0,128,0><SO HT_Objective_MGWalls_Prize> skarabs<END FC>.<E>","Meriti una ricompensa per lo sforzo.<N>Vinci <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabei<END FC>!<E>","보상 받을 자격이 있습니다.<N><FC 0,128,0><SO HT_Objective_MGWalls_Prize> 스캐럽<END FC>을 획득하였습니다!<E>","**You deserve a reward for that effort.<N>You win <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>*","You deserve a reward for that effort.<N>You win <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","Tu esi pelnījis atlīdzību par saviem centieniem.<N>Tu uzvari<FC 0,128,0><SO HT_Objective_MGWalls_Prize> Skarabejas<END FC>!<E>","Você merece uma recompensa pelo esforço.<N>Você ganha <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Káraves<END FC>!<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Succeed2,,"What an outstanding time that is!<N>Your prize money is <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","What an outstanding time that is!<N>Your prize money is <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","Was für eine herausragende Zeit!<N>Dafür erhältst du <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Skarabäen<END FC>!<E>","Quelle performance époustouflante!<N>Tu remportes <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabées<END FC>!<E>","¡Menudo tiempo!<N>Te corresponden <FC 0,128,0><SO HT_Objective_MGWalls_Prize> skarabs<END FC>.<E>","Un tempo davvero eccellente!<N>Vinci un premio in denaro di <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabei<END FC>!<E>","대단한 기록이다!<N>상금은 <FC 0,128,0><SO HT_Objective_MGWalls_Prize> 스캐럽<END FC>이다!<E>","**What an outstanding time that is!<N>Your prize money is <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>*","What an outstanding time that is!<N>Your prize money is <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Scarabs<END FC>!<E>","Vau, cik ātri!<N>Tava atlīdzība ir <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Skarabejas<END FC>!<E>","Mas que tempo excepcional é esse!<N>Sua recompensa é de <FC 0,128,0><SO HT_Objective_MGWalls_Prize> Káraves<END FC>!<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Succeed_HighScore1,,"Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> seconds<END FC>.<E>","Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> seconds<END FC>.<E>","Nicht schlecht – du hast es in <FC 0,128,0><SO HT_Objective_WallDodge_Time> Sekunden<END FC> geschafft. Aber das kannst du bestimmt noch besser...<P>Deine Bestzeit ist <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> Sekunden<END FC>.<E>","Pas mal... Tu as réussi en <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondes<END FC>. Mais tu peux mieux faire!<P>Ton record est de <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> secondes<END FC>.<E>","No está mal. Lo has conseguido en <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>. Pero podrías hacerlo mejor.<P>Tu mejor tiempo es <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> segundos<END FC>.<E>","Niente male - sei arrivato al termine in <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondi<END FC>. Però potresti fare meglio...<P>Il tuo tempo migliore è <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> secondi<END FC>.<E>","나쁘진 않군 - <FC 0,128,0><SO HT_Objective_WallDodge_Time> 초<END FC>에 완료했다. 그러나 더 잘 할 수 있겠군...<P>최고 시간은 <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> 초<END FC>다.<E>","**Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> seconds<END FC>.<E>*","Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> seconds<END FC>.<E>","Nav slikti - tu pabeidzi izaicinājumu <FC 0,128,0><SO HT_Objective_WallDodge_Time> sekundēs<END FC>. Bet tu spēji labāk...<P>Tavs ātrākais laiks ir <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> sekundes<END FC>.<E>","Nada mal - você completou o percurso em <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>. Mas você já foi melhor...<P>Seu tempo mais rápido é de <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_1> segundos<END FC>.<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_MG_WallDodge_Succeed_HighScore2,,"Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> seconds<END FC>.<E>","Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> seconds<END FC>.<E>","Nicht schlecht – du hast es in <FC 0,128,0><SO HT_Objective_WallDodge_Time> Sekunden<END FC> geschafft. Aber das kannst du bestimmt noch besser...<P>Deine Bestzeit ist <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> Sekunden<END FC>.<E>","Pas mal... Tu as réussi en <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondes<END FC>. Mais tu peux mieux faire!<P>Ton record est de <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> secondes<END FC>.<E>","No está mal. Lo has conseguido en <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>. Pero podrías hacerlo mejor.<P>Tu mejor tiempo es <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> segundos<END FC>.<E>","Niente male - sei arrivato al termine in <FC 0,128,0><SO HT_Objective_WallDodge_Time> secondi<END FC>. Però potresti fare meglio...<P>Il tuo tempo migliore è <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> secondi<END FC>.<E>","나쁘진 않군 - <FC 0,128,0><SO HT_Objective_WallDodge_Time> 초<END FC>에 완료했다. 다음엔 더 잘 할 수 있겠군...<P>최고 시간은 <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> 초<END FC>다.<E>","**Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> seconds<END FC>.<E>*","Not bad - you completed it in a time of <FC 0,128,0><SO HT_Objective_WallDodge_Time> seconds<END FC>. But you could do better...<P>Your fastest time is <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> seconds<END FC>.<E>","Nav slikti - tu pabeidzi izaicinājumu <FC 0,128,0><SO HT_Objective_WallDodge_Time> sekundēs<END FC>. Bet tu spēji labāk...<P>Tavs ātrākais laiks ir <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> sekundes<END FC>.<E>","Nada mal - você completou o percurso em <FC 0,128,0><SO HT_Objective_WallDodge_Time> segundos<END FC>. Mas você já foi melhor...<P>Seu tempo mais rápido é de <FC 0,128,0><SO HT_Objective_WallDodge_HighScore_2> segundos<END FC>.<E>",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
